"('Key.esc', 5.605401328, 'released')","('Key.enter', 5.732248493, 'pressed')","('Key.enter', 5.820385793, 'released')","('.', 6.011002074, 'pressed')","('.', 6.123425249, 'released')","('t', 6.210437133, 'pressed')","('t', 6.282306537, 'released')","('i', 6.290148006, 'pressed')","('i', 6.358390612, 'released')","('e', 6.376343242, 'pressed')","('e', 6.444386616, 'released')","('5', 6.568501488, 'pressed')","('5', 6.640304912, 'released')","('Key.caps_lock', 6.848932655, 'pressed')","('Key.caps_lock', 6.848944598, 'released')","('R', 6.930270748, 'pressed')","('Key.caps_lock', 6.989199045, 'pressed')","('Key.caps_lock', 6.989210938, 'released')","('r', 6.993649665, 'released')","('o', 7.171154254, 'pressed')","('o', 7.27922604, 'released')","('a', 7.291250716, 'pressed')","('a', 7.367345513, 'released')","('n', 7.441349145, 'pressed')","('l', 7.521346095, 'pressed')","('n', 7.545366845, 'released')","('e', 7.605384269, 'pressed')","('l', 7.623357665, 'released')","('e', 7.669298627, 'released')","('Key.esc', 7.977342818, 'pressed')"
"('Key.esc', 8.073312602, 'released')","('Key.enter', 8.145532518, 'pressed')","('Key.enter', 8.227259734, 'released')","('.', 8.38986342, 'pressed')","('.', 8.490285249, 'released')","('t', 8.575306964, 'pressed')","('t', 8.651273396, 'released')","('i', 8.673271067, 'pressed')","('i', 8.733186876, 'released')","('e', 8.749213149, 'pressed')","('e', 8.825263146, 'released')","('5', 9.168222791, 'pressed')","('5', 9.240097638, 'released')","('Key.caps_lock', 9.485157417, 'pressed')","('Key.caps_lock', 9.485164737, 'released')","('R', 9.575046827, 'pressed')","('Key.caps_lock', 9.662364231, 'pressed')","('Key.caps_lock', 9.662376271, 'released')","('r', 9.662669362, 'released')","('o', 9.817902213, 'pressed')","('a', 9.874697478, 'pressed')","('o', 9.892880675, 'released')","('a', 9.970176715, 'released')","('n', 10.005251732, 'pressed')","('l', 10.085114466, 'pressed')","('n', 10.108561727, 'released')","('l', 10.177101876, 'released')","('e', 10.185113746, 'pressed')","('e', 10.265192567, 'released')","('Key.esc', 10.543084341, 'pressed')"
"('Key.esc', 10.615128205, 'released')","('Key.enter', 10.70112045, 'pressed')","('Key.enter', 10.777100673, 'released')","('.', 10.939570945, 'pressed')","('.', 11.036128041, 'released')","('t', 11.126088763, 'pressed')","('t', 11.201937899, 'released')","('i', 11.214059974, 'pressed')","('i', 11.270151352, 'released')","('e', 11.308126346, 'pressed')","('e', 11.372180124, 'released')","('5', 11.635128448, 'pressed')","('5', 11.703120939, 'released')","('Key.caps_lock', 11.922633535, 'pressed')","('Key.caps_lock', 11.922646431, 'released')","('R', 11.989133827, 'pressed')","('Key.caps_lock', 12.087871837, 'pressed')","('Key.caps_lock', 12.08788583, 'released')","('r', 12.088073499, 'released')","('o', 12.172132195, 'pressed')","('a', 12.264065269, 'pressed')","('o', 12.267940661, 'released')","('a', 12.360162328, 'released')","('n', 12.420651738, 'pressed')","('l', 12.481062185, 'pressed')","('n', 12.512580228, 'released')","('l', 12.580987824, 'released')","('e', 12.584930366, 'pressed')","('e', 12.649091624, 'released')","('Key.esc', 13.012961174, 'pressed')"
"('Key.esc', 13.07307693, 'released')","('Key.enter', 13.09877843, 'pressed')","('Key.enter', 13.178831838, 'released')","('.', 13.318962387, 'pressed')","('.', 13.423125168, 'released')","('t', 13.460004321, 'pressed')","('t', 13.532024457, 'released')","('i', 13.559893515, 'pressed')","('i', 13.620012901, 'released')","('e', 13.644954794, 'pressed')","('e', 13.71301458, 'released')","('5', 13.855960037, 'pressed')","('5', 13.931836037, 'released')","('Key.caps_lock', 14.143688095, 'pressed')","('Key.caps_lock', 14.143696783, 'released')","('R', 14.200354497, 'pressed')","('R', 14.264273401, 'released')","('Key.caps_lock', 14.271281684, 'pressed')","('Key.caps_lock', 14.271287917, 'released')","('o', 14.388961733, 'pressed')","('o', 14.456960777, 'released')","('a', 14.460893553, 'pressed')","('a', 14.556988773, 'released')","('n', 14.587137585, 'pressed')","('l', 14.666933137, 'pressed')","('n', 14.694717227, 'released')","('e', 14.750897147, 'pressed')","('l', 14.762491638, 'released')","('e', 14.834963225, 'released')","('Key.esc', 15.088879696, 'pressed')"
"('Key.esc', 3.169190027, 'released')","('Key.enter', 3.260046709, 'pressed')","('Key.enter', 3.344147395, 'released')","('.', 3.631960375, 'pressed')","('.', 3.724061902, 'released')","('t', 3.802854024, 'pressed')","('t', 3.879087354, 'released')","('i', 3.918093496, 'pressed')","('i', 3.974099664, 'released')","('e', 3.996091116, 'pressed')","('e', 4.068336953, 'released')","('5', 4.197929362, 'pressed')","('5', 4.269973215, 'released')","('Key.caps_lock', 4.470400299, 'pressed')","('Key.caps_lock', 4.470410054, 'released')","('R', 4.524887336, 'pressed')","('Key.caps_lock', 4.606905536, 'pressed')","('Key.caps_lock', 4.606917837, 'released')","('r', 4.616760176, 'released')","('o', 4.713016802, 'pressed')","('o', 4.792928244, 'released')","('a', 4.796831773, 'pressed')","('a', 4.885352739, 'released')","('n', 4.9199538, 'pressed')","('l', 5.000180024, 'pressed')","('n', 5.015886337, 'released')","('l', 5.07199747, 'released')","('e', 5.099273556, 'pressed')","('e', 5.155037183, 'released')","('Key.esc', 5.483813852, 'pressed')"
"('Key.esc', 5.563936826, 'released')","('Key.enter', 5.686539116, 'pressed')","('Key.enter', 5.766983485, 'released')","('.', 5.99537153, 'pressed')","('.', 6.086981998, 'released')","('t', 6.212874239, 'pressed')","('t', 6.296972977, 'released')","('i', 6.330861782, 'pressed')","('i', 6.398975273, 'released')","('e', 6.421000278, 'pressed')","('e', 6.497222325, 'released')","('5', 6.629726277, 'pressed')","('5', 6.705905814, 'released')","('Key.caps_lock', 6.914423135, 'pressed')","('Key.caps_lock', 6.914436281, 'released')","('R', 6.975946657, 'pressed')","('Key.caps_lock', 7.058275424, 'pressed')","('Key.caps_lock', 7.058286548, 'released')","('r', 7.071794022, 'released')","('o', 7.199706077, 'pressed')","('o', 7.271850229, 'released')","('a', 7.275784958, 'pressed')","('a', 7.359963864, 'released')","('n', 7.400907001, 'pressed')","('l', 7.488967442, 'pressed')","('n', 7.505646079, 'released')","('l', 7.556940824, 'released')","('e', 7.599043663, 'pressed')","('e', 7.666915981, 'released')","('Key.esc', 7.942814697, 'pressed')"
"('Key.esc', 8.018961282, 'released')","('Key.enter', 8.160750964, 'pressed')","('Key.enter', 8.244834723, 'released')","('.', 8.445887082, 'pressed')","('.', 8.549686522, 'released')","('t', 8.611853611, 'pressed')","('t', 8.687777589, 'released')","('i', 8.727764754, 'pressed')","('i', 8.795746826, 'released')","('e', 8.803867154, 'pressed')","('e', 8.879887331, 'released')","('5', 8.999708821, 'pressed')","('5', 9.075802728, 'released')","('Key.caps_lock', 9.292497324, 'pressed')","('Key.caps_lock', 9.292514352, 'released')","('R', 9.349633844, 'pressed')","('Key.caps_lock', 9.424164771, 'pressed')","('Key.caps_lock', 9.424175898, 'released')","('r', 9.429159585, 'released')","('o', 9.544680083, 'pressed')","('a', 9.612835759, 'pressed')","('o', 9.61664871, 'released')","('a', 9.692839427, 'released')","('n', 9.746738091, 'pressed')","('l', 9.826728044, 'pressed')","('n', 9.850545787, 'released')","('l', 9.90300581, 'released')","('e', 9.950075828, 'pressed')","('e', 10.017196493, 'released')","('Key.esc', 10.42263667, 'pressed')"
"('Key.esc', 10.494593263, 'released')","('Key.enter', 10.595728533, 'pressed')","('Key.enter', 10.675750542, 'released')","('.', 10.895693961, 'pressed')","('.', 10.98373788, 'released')","('t', 11.050888287, 'pressed')","('t', 11.130674129, 'released')","('i', 11.171574765, 'pressed')","('i', 11.239631535, 'released')","('e', 11.255721896, 'pressed')","('e', 11.327774242, 'released')","('5', 11.471938228, 'pressed')","('5', 11.555700407, 'released')","('Key.caps_lock', 11.787779093, 'pressed')","('Key.caps_lock', 11.787790159, 'released')","('R', 11.848383782, 'pressed')","('Key.caps_lock', 11.91862649, 'pressed')","('Key.caps_lock', 11.918671495, 'released')","('r', 11.932593349, 'released')","('o', 12.004790087, 'pressed')","('o', 12.080667638, 'released')","('a', 12.108617921, 'pressed')","('a', 12.176653505, 'released')","('n', 12.198694268, 'pressed')","('l', 12.282672825, 'pressed')","('n', 12.306530101, 'released')","('l', 12.354674083, 'released')","('e', 12.3755941, 'pressed')","('e', 12.455645282, 'released')","('Key.esc', 12.79455525, 'pressed')"
"('Key.esc', 12.878592949, 'released')","('Key.enter', 12.957665984, 'pressed')","('Key.enter', 13.04156671, 'released')","('.', 13.25988524, 'pressed')","('.', 13.371432875, 'released')","('t', 13.454502712, 'pressed')","('t', 13.526452892, 'released')","('i', 13.55449457, 'pressed')","('i', 13.618593339, 'released')","('e', 13.634493603, 'pressed')","('e', 13.70658839, 'released')","('5', 13.841576821, 'pressed')","('5', 13.921616671, 'released')","('Key.caps_lock', 14.125956718, 'pressed')","('Key.caps_lock', 14.125966637, 'released')","('R', 14.199541702, 'pressed')","('Key.caps_lock', 14.270099543, 'pressed')","('Key.caps_lock', 14.270116489, 'released')","('r', 14.271589176, 'released')","('o', 14.402321665, 'pressed')","('a', 14.454528485, 'pressed')","('o', 14.478653442, 'released')","('a', 14.538466589, 'released')","('n', 14.597432685, 'pressed')","('l', 14.673575384, 'pressed')","('n', 14.693173044, 'released')","('l', 14.745801357, 'released')","('e', 14.76540465, 'pressed')","('e', 14.833687932, 'released')","('Key.esc', 15.211513894, 'pressed')"
"('Key.esc', 15.283091509, 'released')","('Key.enter', 15.464435295, 'pressed')","('Key.enter', 15.548564668, 'released')","('.', 15.765532084, 'pressed')","('.', 15.857469285, 'released')","('t', 15.941526744, 'pressed')","('t', 16.009338113, 'released')","('i', 16.033341445, 'pressed')","('i', 16.093240918, 'released')","('e', 16.121331388, 'pressed')","('e', 16.197351633, 'released')","('5', 16.318406336, 'pressed')","('5', 16.390453158, 'released')","('Key.caps_lock', 16.608453254, 'pressed')","('Key.caps_lock', 16.608515339, 'released')","('R', 16.677421998, 'pressed')","('R', 16.749239315, 'released')","('Key.caps_lock', 16.763819699, 'pressed')","('Key.caps_lock', 16.763832355, 'released')","('o', 16.910369892, 'pressed')","('a', 16.944975959, 'pressed')","('o', 16.997108859, 'released')","('a', 17.013380482, 'released')","('n', 17.179316474, 'pressed')","('l', 17.263414831, 'pressed')","('n', 17.280195863, 'released')","('l', 17.331297134, 'released')","('e', 17.339226152, 'pressed')","('e', 17.407424615, 'released')","('Key.esc', 17.696365046, 'pressed')"
"('Key.esc', 17.776139586, 'released')","('Key.enter', 17.988554382, 'pressed')","('Key.enter', 18.072213159, 'released')","('.', 18.276525364, 'pressed')","('.', 18.376379429, 'released')","('t', 18.480031678, 'pressed')","('t', 18.564385422, 'released')","('i', 18.58526389, 'pressed')","('i', 18.64928596, 'released')","('e', 18.679193393, 'pressed')","('e', 18.747253038, 'released')","('5', 18.873174587, 'pressed')","('5', 18.949255344, 'released')","('Key.caps_lock', 19.158741653, 'pressed')","('Key.caps_lock', 19.158756475, 'released')","('R', 19.212198383, 'pressed')","('Key.caps_lock', 19.291261568, 'pressed')","('Key.caps_lock', 19.291274228, 'released')","('r', 19.295718369, 'released')","('o', 19.460323961, 'pressed')","('o', 19.520782848, 'released')","('a', 20.039197202, 'pressed')","('a', 20.099067266, 'released')","('n', 20.156157381, 'pressed')","('l', 20.236208822, 'pressed')","('n', 20.249785522, 'released')","('e', 20.304110098, 'pressed')","('l', 20.317890029, 'released')","('e', 20.364160421, 'released')","('Key.esc', 20.763042139, 'pressed')"
"('Key.esc', 20.851125469, 'released')","('Key.enter', 20.966066839, 'pressed')","('Key.enter', 21.041994586, 'released')","('.', 21.233155197, 'pressed')","('.', 21.324998877, 'released')","('t', 21.417139436, 'pressed')","('t', 21.497156039, 'released')","('i', 21.530061679, 'pressed')","('i', 21.594117896, 'released')","('e', 21.615258304, 'pressed')","('e', 21.691054578, 'released')","('5', 21.830850442, 'pressed')","('5', 21.895262989, 'released')","('Key.caps_lock', 22.130249595, 'pressed')","('Key.caps_lock', 22.1302654, 'released')","('R', 22.186155911, 'pressed')","('Key.caps_lock', 22.272851587, 'pressed')","('Key.caps_lock', 22.272930696, 'released')","('r', 22.273140312, 'released')","('o', 22.409554053, 'pressed')","('o', 22.480003868, 'released')","('a', 22.49614316, 'pressed')","('a', 22.57603193, 'released')","('n', 22.625992106, 'pressed')","('l', 22.69409719, 'pressed')","('n', 22.717512268, 'released')","('l', 22.774259835, 'released')","('e', 22.804070816, 'pressed')","('e', 22.860064186, 'released')","('Key.esc', 23.162118498, 'pressed')"
"('Key.esc', 23.242030055, 'released')","('Key.enter', 23.373034291, 'pressed')","('Key.enter', 23.45704047, 'released')","('.', 23.691014346, 'pressed')","('.', 23.802969265, 'released')","('t', 23.91882597, 'pressed')","('t', 23.998976255, 'released')","('i', 24.028016782, 'pressed')","('i', 24.092038051, 'released')","('e', 24.149190577, 'pressed')","('e', 24.23704192, 'released')","('5', 24.352663724, 'pressed')","('5', 24.41702316, 'released')","('Key.caps_lock', 24.634474528, 'pressed')","('Key.caps_lock', 24.634532358, 'released')","('R', 24.679794659, 'pressed')","('Key.caps_lock', 24.762318763, 'pressed')","('Key.caps_lock', 24.762330554, 'released')","('r', 24.763927916, 'released')","('o', 24.893953488, 'pressed')","('o', 24.961720797, 'released')","('a', 24.965779935, 'pressed')","('a', 25.053961271, 'released')","('n', 25.101927388, 'pressed')","('l', 25.181880835, 'pressed')","('n', 25.205287628, 'released')","('l', 25.257944507, 'released')","('e', 25.305994365, 'pressed')","('e', 25.361972105, 'released')","('Key.esc', 25.658704837, 'pressed')"
"('Key.esc', 3.375148617, 'released')","('Key.enter', 3.46511248, 'pressed')","('Key.enter', 3.565187425, 'released')","('.', 3.804211877, 'pressed')","('.', 3.90030333, 'released')","('t', 3.97904545, 'pressed')","('t', 4.051115788, 'released')","('i', 4.09806051, 'pressed')","('i', 4.166022375, 'released')","('e', 4.178058755, 'pressed')","('e', 4.250261338, 'released')","('5', 4.393988665, 'pressed')","('5', 4.462000345, 'released')","('Key.caps_lock', 4.667308349, 'pressed')","('Key.caps_lock', 4.667318798, 'released')","('R', 4.741029456, 'pressed')","('Key.caps_lock', 4.820300369, 'pressed')","('Key.caps_lock', 4.820323727, 'released')","('r', 4.820543964, 'released')","('o', 4.975957413, 'pressed')","('o', 5.054136145, 'released')","('a', 5.080103743, 'pressed')","('a', 5.171954958, 'released')","('n', 5.187889246, 'pressed')","('l', 5.252018881, 'pressed')","('n', 5.275795921, 'released')","('l', 5.328136289, 'released')","('e', 5.369988504, 'pressed')","('e', 5.437550014, 'released')","('Key.esc', 5.820015814, 'pressed')"
"('Key.esc', 5.896191123, 'released')","('Key.enter', 6.017929386, 'pressed')","('Key.enter', 6.08600384, 'released')","('.', 6.289828409, 'pressed')","('.', 6.382004196, 'released')","('t', 6.536036123, 'pressed')","('t', 6.615866039, 'released')","('i', 6.634992026, 'pressed')","('i', 6.703003079, 'released')","('e', 6.719918014, 'pressed')","('e', 6.79997863, 'released')","('5', 6.940925886, 'pressed')","('5', 7.008807725, 'released')","('Key.caps_lock', 7.224853967, 'pressed')","('Key.caps_lock', 7.224874, 'released')","('R', 7.290997426, 'pressed')","('Key.caps_lock', 7.377787748, 'pressed')","('Key.caps_lock', 7.377800866, 'released')","('r', 7.378128345, 'released')","('o', 7.49491457, 'pressed')","('o', 7.570891679, 'released')","('a', 7.587052726, 'pressed')","('a', 7.663013939, 'released')","('n', 7.694953765, 'pressed')","('l', 7.758759795, 'pressed')","('n', 7.786602038, 'released')","('l', 7.846950058, 'released')","('e', 7.864011109, 'pressed')","('e', 7.939844797, 'released')","('Key.esc', 8.343965798, 'pressed')"
"('Key.esc', 8.411934428, 'released')","('Key.enter', 8.537869538, 'pressed')","('Key.enter', 8.62601174, 'released')","('.', 8.889918191, 'pressed')","('.', 8.981885695, 'released')","('t', 9.054231133, 'pressed')","('t', 9.134030736, 'released')","('i', 9.164707426, 'pressed')","('i', 9.236824562, 'released')","('e', 9.248795173, 'pressed')","('e', 9.325157987, 'released')","('5', 9.47480679, 'pressed')","('5', 9.539045076, 'released')","('Key.caps_lock', 9.746674119, 'pressed')","('Key.caps_lock', 9.74668163, 'released')","('R', 9.812762227, 'pressed')","('Key.caps_lock', 9.891877685, 'pressed')","('Key.caps_lock', 9.891890867, 'released')","('r', 9.896411274, 'released')","('o', 10.016185524, 'pressed')","('a', 10.083674366, 'pressed')","('o', 10.087607144, 'released')","('a', 10.167901339, 'released')","('n', 10.219771306, 'pressed')","('l', 10.291935829, 'pressed')","('n', 10.311757899, 'released')","('l', 10.375740003, 'released')","('e', 10.391876397, 'pressed')","('e', 10.463186157, 'released')","('Key.esc', 10.927335475, 'pressed')"
"('Key.esc', 10.975678067, 'released')","('Key.enter', 11.145755815, 'pressed')","('Key.enter', 11.217725035, 'released')","('.', 11.462777692, 'pressed')","('.', 11.554876868, 'released')","('t', 11.627627505, 'pressed')","('t', 11.695805805, 'released')","('i', 11.734754493, 'pressed')","('i', 11.806701864, 'released')","('e', 11.823639246, 'pressed')","('e', 11.899714978, 'released')","('5', 12.049100053, 'pressed')","('5', 12.121782482, 'released')","('Key.caps_lock', 12.331782282, 'pressed')","('Key.caps_lock', 12.331824764, 'released')","('R', 12.393669336, 'pressed')","('Key.caps_lock', 12.468319256, 'pressed')","('Key.caps_lock', 12.468330892, 'released')","('r', 12.485615379, 'released')","('o', 12.614617817, 'pressed')","('o', 12.682486436, 'released')","('a', 12.690618994, 'pressed')","('a', 12.774868365, 'released')","('n', 12.822627497, 'pressed')","('l', 12.890614483, 'pressed')","('n', 12.914153416, 'released')","('l', 12.970689883, 'released')","('e', 13.004923712, 'pressed')","('e', 13.072817301, 'released')","('Key.esc', 13.502792952, 'pressed')"
"('Key.esc', 13.562631978, 'released')","('Key.enter', 13.712595307, 'pressed')","('Key.enter', 13.792535186, 'released')","('.', 14.0554194, 'pressed')","('.', 14.143557747, 'released')","('t', 14.226627918, 'pressed')","('t', 14.261628756, 'released')","('i', 14.493707095, 'pressed')","('i', 14.557540931, 'released')","('e', 14.612614623, 'pressed')","('e', 14.68458267, 'released')","('5', 14.942700215, 'pressed')","('5', 14.970005682, 'released')","('Key.caps_lock', 15.237470959, 'pressed')","('Key.caps_lock', 15.237484075, 'released')","('R', 15.296607027, 'pressed')","('Key.caps_lock', 15.371000749, 'pressed')","('Key.caps_lock', 15.371058798, 'released')","('r', 15.379901527, 'released')","('o', 15.469308632, 'pressed')","('o', 15.553475962, 'released')","('a', 15.569686418, 'pressed')","('a', 15.653537252, 'released')","('n', 15.676249076, 'pressed')","('l', 15.748414372, 'pressed')","('n', 15.772932861, 'released')","('l', 15.832502572, 'released')","('e', 15.857512843, 'pressed')","('e', 15.929545369, 'released')","('Key.esc', 16.223259265, 'pressed')"
"('Key.esc', 16.307190675, 'released')","('Key.enter', 16.45560702, 'pressed')","('Key.enter', 16.547357998, 'released')","('.', 16.769387121, 'pressed')","('.', 16.865349622, 'released')","('t', 16.964609874, 'pressed')","('t', 17.032706848, 'released')","('i', 17.068135105, 'pressed')","('i', 17.140377731, 'released')","('e', 17.181234854, 'pressed')","('e', 17.265442798, 'released')","('5', 17.450314413, 'pressed')","('5', 17.522477599, 'released')","('Key.caps_lock', 17.767959192, 'pressed')","('Key.caps_lock', 17.767970672, 'released')","('R', 17.846002658, 'pressed')","('R', 17.950714301, 'released')","('Key.caps_lock', 17.952758339, 'pressed')","('Key.caps_lock', 17.95277379, 'released')","('o', 18.054348536, 'pressed')","('o', 18.13845106, 'released')","('a', 18.168417611, 'pressed')","('a', 18.260376684, 'released')","('n', 18.293198694, 'pressed')","('l', 18.377405108, 'pressed')","('n', 18.392770266, 'released')","('l', 18.445425427, 'released')","('e', 18.478221925, 'pressed')","('e', 18.554400885, 'released')","('Key.esc', 19.068334658, 'pressed')"
"('Key.esc', 19.132092975, 'released')","('Key.enter', 19.370245813, 'pressed')","('Key.enter', 19.458297129, 'released')","('.', 19.798402562, 'pressed')","('.', 19.889778062, 'released')","('t', 20.001135993, 'pressed')","('t', 20.065139935, 'released')","('i', 20.091347393, 'pressed')","('i', 20.163296643, 'released')","('e', 20.185175988, 'pressed')","('e', 20.261308575, 'released')","('5', 20.416613537, 'pressed')","('5', 20.481273381, 'released')","('Key.caps_lock', 20.688529841, 'pressed')","('Key.caps_lock', 20.688539902, 'released')","('R', 20.754301966, 'pressed')","('Key.caps_lock', 20.836944671, 'pressed')","('Key.caps_lock', 20.836960016, 'released')","('r', 20.837168849, 'released')","('o', 20.931321863, 'pressed')","('o', 21.007240424, 'released')","('a', 21.025177359, 'pressed')","('a', 21.105296233, 'released')","('n', 21.136989818, 'pressed')","('l', 21.216177163, 'pressed')","('n', 21.239936401, 'released')","('l', 21.29208021, 'released')","('e', 21.317190635, 'pressed')","('e', 21.393406124, 'released')","('Key.esc', 21.701114223, 'pressed')"
"('Key.esc', 21.773295401, 'released')","('Key.enter', 21.972127518, 'pressed')","('Key.enter', 22.064183944, 'released')","('.', 22.274128657, 'pressed')","('.', 22.366606299, 'released')","('t', 22.473338287, 'pressed')","('t', 22.537126992, 'released')","('i', 22.556290698, 'pressed')","('i', 22.628167149, 'released')","('e', 22.659887152, 'pressed')","('e', 22.74416074, 'released')","('5', 22.890398204, 'pressed')","('5', 22.962130769, 'released')","('Key.caps_lock', 23.19017557, 'pressed')","('Key.caps_lock', 23.190203025, 'released')","('R', 23.256898804, 'pressed')","('Key.caps_lock', 23.351786364, 'pressed')","('Key.caps_lock', 23.351801127, 'released')","('r', 23.352255352, 'released')","('o', 23.42059681, 'pressed')","('o', 23.501376441, 'released')","('a', 23.53716303, 'pressed')","('a', 23.612998836, 'released')","('n', 23.625232634, 'pressed')","('l', 23.704884201, 'pressed')","('n', 23.721619627, 'released')","('l', 23.776989315, 'released')","('e', 23.829024757, 'pressed')","('e', 23.893082258, 'released')","('Key.esc', 24.448967617, 'pressed')"
"('Key.esc', 24.520973508, 'released')","('Key.enter', 24.638938251, 'pressed')","('Key.enter', 24.731005831, 'released')","('.', 24.966029525, 'pressed')","('.', 25.049753034, 'released')","('t', 25.23495411, 'pressed')","('t', 25.310994358, 'released')","('i', 25.349952308, 'pressed')","('i', 25.40601157, 'released')","('e', 25.492932008, 'pressed')","('e', 25.553003711, 'released')","('5', 25.717335717, 'pressed')","('5', 25.777950205, 'released')","('Key.caps_lock', 25.982514137, 'pressed')","('Key.caps_lock', 25.982521045, 'released')","('R', 26.030944257, 'pressed')","('Key.caps_lock', 26.108944308, 'pressed')","('Key.caps_lock', 26.108959676, 'released')","('r', 26.109245516, 'released')","('o', 26.237951448, 'pressed')","('a', 26.318144077, 'pressed')","('o', 26.318258725, 'released')","('a', 26.406159978, 'released')","('n', 26.449963614, 'pressed')","('l', 26.521929661, 'pressed')","('n', 26.549274354, 'released')","('l', 26.60193036, 'released')","('e', 26.638844877, 'pressed')","('e', 26.71095705, 'released')","('Key.esc', 27.023811699, 'pressed')"
