"('Key.esc', 8.584239421, 'released')","('Key.enter', 8.696913542, 'pressed')","('Key.enter', 8.780327896, 'released')","('.', 9.744879716, 'pressed')","('.', 9.821397223, 'released')","('t', 10.172221608, 'pressed')","('t', 10.2442865, 'released')","('i', 10.643705437, 'pressed')","('i', 10.718289074, 'released')","('e', 10.98514804, 'pressed')","('e', 11.069096255, 'released')","('5', 11.333176614, 'pressed')","('5', 11.405186752, 'released')","('Key.caps_lock', 11.824350118, 'pressed')","('Key.caps_lock', 11.824361985, 'released')","('R', 12.097108808, 'pressed')","('R', 12.169144696, 'released')","('Key.caps_lock', 12.294319021, 'pressed')","('Key.caps_lock', 12.294333252, 'released')","('o', 12.798036803, 'pressed')","('o', 12.874124387, 'released')","('a', 13.081041351, 'pressed')","('a', 13.157251386, 'released')","('n', 13.357113663, 'pressed')","('n', 13.425087739, 'released')","('l', 13.789835593, 'pressed')","('l', 13.866062184, 'released')","('e', 14.055831776, 'pressed')","('e', 14.120053034, 'released')","('Key.esc', 14.611917799, 'pressed')"
"('Key.esc', 8.842139275, 'released')","('Key.enter', 9.164089621, 'pressed')","('Key.enter', 9.232141924, 'released')","('.', 9.769464192, 'pressed')","('.', 9.841120296, 'released')","('t', 10.263134208, 'pressed')","('t', 10.334960952, 'released')","('i', 10.800917716, 'pressed')","('i', 10.876073262, 'released')","('e', 11.169956243, 'pressed')","('e', 11.266048772, 'released')","('5', 11.586441207, 'pressed')","('5', 11.675019567, 'released')","('Key.caps_lock', 12.011564235, 'pressed')","('Key.caps_lock', 12.011575951, 'released')","('R', 12.275944318, 'pressed')","('R', 12.348023036, 'released')","('Key.caps_lock', 12.554351456, 'pressed')","('Key.caps_lock', 12.554364487, 'released')","('o', 13.028061999, 'pressed')","('o', 13.103966577, 'released')","('a', 13.293853743, 'pressed')","('a', 13.376979377, 'released')","('n', 13.643915128, 'pressed')","('n', 13.715921669, 'released')","('l', 14.257771353, 'pressed')","('l', 14.329830247, 'released')","('e', 14.504818573, 'pressed')","('e', 14.592996194, 'released')","('Key.esc', 15.09072768, 'pressed')"
"('Key.esc', 15.186807427, 'released')","('Key.enter', 15.514755495, 'pressed')","('Key.enter', 15.590752191, 'released')","('.', 16.314791496, 'pressed')","('.', 16.390721981, 'released')","('t', 16.778741069, 'pressed')","('t', 16.846201904, 'released')","('i', 17.299801682, 'pressed')","('i', 17.359792619, 'released')","('e', 17.674667267, 'pressed')","('e', 17.758718411, 'released')","('5', 18.120594162, 'pressed')","('5', 18.196481301, 'released')","('Key.caps_lock', 18.593115082, 'pressed')","('Key.caps_lock', 18.593126225, 'released')","('R', 18.821515718, 'pressed')","('R', 18.897656857, 'released')","('Key.caps_lock', 19.089073015, 'pressed')","('Key.caps_lock', 19.089083041, 'released')","('o', 19.702617115, 'pressed')","('o', 19.774620518, 'released')","('a', 20.01750686, 'pressed')","('a', 20.085591715, 'released')","('n', 20.248488125, 'pressed')","('n', 20.320618998, 'released')","('l', 20.800094151, 'pressed')","('l', 20.876554018, 'released')","('e', 21.118455423, 'pressed')","('e', 21.194633667, 'released')","('Key.esc', 21.747445782, 'pressed')"
"('Key.esc', 21.815467083, 'released')","('Key.enter', 22.183354322, 'pressed')","('Key.enter', 22.251432728, 'released')","('.', 23.308359816, 'pressed')","('.', 23.388399753, 'released')","('t', 23.736262366, 'pressed')","('t', 23.808408962, 'released')","('i', 24.203403018, 'pressed')","('i', 24.27941242, 'released')","('e', 24.548542859, 'pressed')","('e', 24.628435808, 'released')","('5', 24.931259506, 'pressed')","('5', 25.007324541, 'released')","('Key.caps_lock', 25.40821508, 'pressed')","('Key.caps_lock', 25.408241253, 'released')","('R', 25.647285468, 'pressed')","('R', 25.719344681, 'released')","('Key.caps_lock', 25.869357554, 'pressed')","('Key.caps_lock', 25.869367698, 'released')","('o', 26.367290272, 'pressed')","('o', 26.439280164, 'released')","('a', 26.632219457, 'pressed')","('a', 26.712294372, 'released')","('n', 26.938193944, 'pressed')","('n', 27.006288111, 'released')","('l', 27.455190191, 'pressed')","('l', 27.531243181, 'released')","('e', 27.771188946, 'pressed')","('e', 27.851233468, 'released')","('Key.esc', 28.347034513, 'pressed')"
"('Key.esc', 8.847008812, 'released')","('Key.enter', 9.045745485, 'pressed')","('Key.enter', 9.121728527, 'released')","('.', 9.631758685, 'pressed')","('.', 9.711741264, 'released')","('t', 10.118473643, 'pressed')","('t', 10.1906981, 'released')","('i', 10.434757967, 'pressed')","('i', 10.502681773, 'released')","('e', 10.794681948, 'pressed')","('e', 10.870585604, 'released')","('5', 11.125966541, 'pressed')","('5', 11.205649311, 'released')","('Key.caps_lock', 11.555848435, 'pressed')","('Key.caps_lock', 11.555860797, 'released')","('R', 11.755700517, 'pressed')","('R', 11.827653081, 'released')","('Key.caps_lock', 11.975241089, 'pressed')","('Key.caps_lock', 11.975254064, 'released')","('o', 12.644641124, 'pressed')","('o', 12.720396342, 'released')","('a', 13.120965848, 'pressed')","('a', 13.193552068, 'released')","('n', 13.371568927, 'pressed')","('n', 13.435549081, 'released')","('l', 13.79043971, 'pressed')","('l', 13.862546036, 'released')","('e', 14.286499523, 'pressed')","('e', 14.366493253, 'released')","('Key.esc', 15.097232228, 'pressed')"
"('Key.esc', 15.197171488, 'released')","('Key.enter', 15.447301123, 'pressed')","('Key.enter', 15.519153232, 'released')","('.', 16.081157421, 'pressed')","('.', 16.157376247, 'released')","('t', 16.511181101, 'pressed')","('t', 16.583303997, 'released')","('i', 16.835039548, 'pressed')","('i', 16.906995218, 'released')","('e', 17.169259092, 'pressed')","('e', 17.253339164, 'released')","('5', 17.605281504, 'pressed')","('5', 17.681313615, 'released')","('Key.caps_lock', 18.049737338, 'pressed')","('Key.caps_lock', 18.04976124, 'released')","('R', 18.387276223, 'pressed')","('R', 18.455284065, 'released')","('Key.caps_lock', 18.668501014, 'pressed')","('Key.caps_lock', 18.668508278, 'released')","('o', 19.177145542, 'pressed')","('o', 19.245309223, 'released')","('a', 19.486313792, 'pressed')","('a', 19.570232719, 'released')","('n', 19.777158165, 'pressed')","('n', 19.845271123, 'released')","('l', 20.146155231, 'pressed')","('l', 20.218246107, 'released')","('e', 20.349285827, 'pressed')","('e', 20.417046995, 'released')","('Key.esc', 21.020116495, 'pressed')"
"('Key.esc', 21.120164392, 'released')","('Key.enter', 21.732990642, 'pressed')","('Key.enter', 21.801046128, 'released')","('.', 23.039998487, 'pressed')","('.', 23.115465749, 'released')","('t', 23.520081733, 'pressed')","('t', 23.59602505, 'released')","('i', 23.857875193, 'pressed')","('i', 23.926004793, 'released')","('e', 24.202980917, 'pressed')","('e', 24.295013285, 'released')","('5', 24.651076341, 'pressed')","('5', 24.7269143, 'released')","('Key.caps_lock', 25.118552023, 'pressed')","('Key.caps_lock', 25.118565599, 'released')","('R', 25.516920153, 'pressed')","('R', 25.580742542, 'released')","('Key.caps_lock', 25.737854404, 'pressed')","('Key.caps_lock', 25.737874582, 'released')","('o', 26.264787144, 'pressed')","('o', 26.340859629, 'released')","('a', 26.606768641, 'pressed')","('a', 26.678953719, 'released')","('n', 26.907815623, 'pressed')","('n', 26.975909486, 'released')","('l', 27.288651907, 'pressed')","('l', 27.360851417, 'released')","('e', 27.602961776, 'pressed')","('e', 27.670810712, 'released')","('Key.esc', 28.420624562, 'pressed')"
"('Key.esc', 28.548763542, 'released')","('Key.enter', 28.730741096, 'pressed')","('Key.enter', 28.802708621, 'released')","('.', 29.161639433, 'pressed')","('.', 29.23775351, 'released')","('t', 29.61366141, 'pressed')","('t', 29.681640192, 'released')","('i', 29.919791971, 'pressed')","('i', 29.991685528, 'released')","('e', 30.241722869, 'pressed')","('e', 30.321660294, 'released')","('5', 30.763784672, 'pressed')","('5', 30.847578554, 'released')","('Key.caps_lock', 31.221369994, 'pressed')","('Key.caps_lock', 31.221468267, 'released')","('R', 31.473554456, 'pressed')","('R', 31.541602955, 'released')","('Key.caps_lock', 32.2944394, 'pressed')","('Key.caps_lock', 32.294451063, 'released')","('o', 32.854925945, 'pressed')","('o', 32.923542227, 'released')","('a', 33.268453941, 'pressed')","('a', 33.352300457, 'released')","('n', 33.57160661, 'pressed')","('n', 33.635496189, 'released')","('l', 34.346418286, 'pressed')","('l', 34.422495952, 'released')","('e', 34.608780561, 'pressed')","('e', 34.680495309, 'released')","('Key.esc', 35.263392102, 'pressed')"
"('Key.esc', 6.223886088, 'released')","('Key.enter', 6.606812515, 'pressed')","('Key.enter', 6.666665022, 'released')","('.', 7.095713929, 'pressed')","('.', 7.163866712, 'released')","('t', 7.754744255, 'pressed')","('t', 7.826823998, 'released')","('i', 8.043834022, 'pressed')","('i', 8.115860015, 'released')","('e', 8.291828317, 'pressed')","('e', 8.367809312, 'released')","('5', 8.658692095, 'pressed')","('5', 8.738805639, 'released')","('Key.caps_lock', 9.235157366, 'pressed')","('Key.caps_lock', 9.235169368, 'released')","('R', 9.426787196, 'pressed')","('R', 9.494794767, 'released')","('Key.caps_lock', 9.795947821, 'pressed')","('Key.caps_lock', 9.795960559, 'released')","('o', 10.208645096, 'pressed')","('o', 10.276739023, 'released')","('a', 10.528714521, 'pressed')","('a', 10.592540024, 'released')","('n', 10.774588694, 'pressed')","('n', 10.83859407, 'released')","('l', 11.097649703, 'pressed')","('l', 11.165497905, 'released')","('e', 11.615263207, 'pressed')","('e', 11.679576416, 'released')","('Key.esc', 12.14976463, 'pressed')"
"('Key.esc', 12.221552421, 'released')","('Key.enter', 12.572469421, 'pressed')","('Key.enter', 12.632648233, 'released')","('.', 13.053670725, 'pressed')","('.', 13.125561796, 'released')","('t', 13.512583957, 'pressed')","('t', 13.572559597, 'released')","('i', 13.785316296, 'pressed')","('i', 13.853533137, 'released')","('e', 13.989251295, 'pressed')","('e', 14.057625799, 'released')","('5', 14.323453971, 'pressed')","('5', 14.387473166, 'released')","('Key.caps_lock', 14.810399508, 'pressed')","('Key.caps_lock', 14.810410695, 'released')","('R', 15.041833055, 'pressed')","('R', 15.10950753, 'released')","('Key.caps_lock', 15.216627395, 'pressed')","('Key.caps_lock', 15.21668637, 'released')","('o', 15.735430713, 'pressed')","('o', 15.803434637, 'released')","('a', 16.029393528, 'pressed')","('a', 16.109429992, 'released')","('n', 16.336494723, 'pressed')","('n', 16.404455527, 'released')","('l', 16.639975127, 'pressed')","('l', 16.711464184, 'released')","('e', 16.904153235, 'pressed')","('e', 16.968370108, 'released')","('Key.esc', 17.462354139, 'pressed')"
"('Key.esc', 17.546247348, 'released')","('Key.enter', 17.921577497, 'pressed')","('Key.enter', 17.989236657, 'released')","('.', 18.552235285, 'pressed')","('.', 18.620280854, 'released')","('t', 19.028326276, 'pressed')","('t', 19.096248753, 'released')","('i', 19.300982103, 'pressed')","('i', 19.373252609, 'released')","('e', 19.684260915, 'pressed')","('e', 19.772231893, 'released')","('5', 20.033153824, 'pressed')","('5', 20.121207673, 'released')","('Key.caps_lock', 20.635764374, 'pressed')","('Key.caps_lock', 20.635776671, 'released')","('R', 20.857118547, 'pressed')","('R', 20.929172018, 'released')","('Key.caps_lock', 21.116285147, 'pressed')","('Key.caps_lock', 21.116303243, 'released')","('o', 21.574041807, 'pressed')","('o', 21.65013198, 'released')","('a', 21.792066671, 'pressed')","('a', 21.868112761, 'released')","('n', 22.045210745, 'pressed')","('n', 22.113070956, 'released')","('l', 22.584608893, 'pressed')","('l', 22.645120993, 'released')","('e', 22.833547988, 'pressed')","('e', 22.897837342, 'released')","('Key.esc', 23.369192002, 'pressed')"
"('Key.esc', 23.450998611, 'released')","('Key.enter', 23.896811668, 'pressed')","('Key.enter', 23.960945128, 'released')","('.', 25.546933967, 'pressed')","('.', 25.614836338, 'released')","('t', 25.976877733, 'pressed')","('t', 26.048930977, 'released')","('i', 26.264919385, 'pressed')","('i', 26.32892803, 'released')","('e', 26.728838756, 'pressed')","('e', 26.808865555, 'released')","('5', 27.33461671, 'pressed')","('5', 27.410800158, 'released')","('Key.caps_lock', 27.93567285, 'pressed')","('Key.caps_lock', 27.935901026, 'released')","('R', 28.157625525, 'pressed')","('R', 28.229821855, 'released')","('Key.caps_lock', 28.341894688, 'pressed')","('Key.caps_lock', 28.341907979, 'released')","('o', 28.826486997, 'pressed')","('o', 28.898761176, 'released')","('a', 29.123568806, 'pressed')","('a', 29.19985667, 'released')","('n', 29.577005406, 'pressed')","('n', 29.648725067, 'released')","('l', 30.024682216, 'pressed')","('l', 30.092705211, 'released')","('e', 30.286708403, 'pressed')","('e', 30.362733229, 'released')","('Key.esc', 30.850578393, 'pressed')"
"('Key.esc', 8.827949112, 'released')","('Key.enter', 9.114980711, 'pressed')","('Key.enter', 9.18289302, 'released')","('.', 9.600002009, 'pressed')","('.', 9.672017572, 'released')","('t', 10.037891432, 'pressed')","('t', 10.097736482, 'released')","('i', 10.369902213, 'pressed')","('i', 10.437835126, 'released')","('e', 10.710877949, 'pressed')","('e', 10.790907357, 'released')","('5', 11.285865419, 'pressed')","('5', 11.361655826, 'released')","('Key.caps_lock', 11.938418971, 'pressed')","('Key.caps_lock', 11.938488554, 'released')","('R', 12.185240845, 'pressed')","('R', 12.261818227, 'released')","('Key.caps_lock', 12.402939865, 'pressed')","('Key.caps_lock', 12.402954032, 'released')","('o', 12.992734361, 'pressed')","('o', 13.056738089, 'released')","('a', 13.28471828, 'pressed')","('a', 13.368565899, 'released')","('n', 13.636634817, 'pressed')","('n', 13.70076259, 'released')","('l', 14.206723447, 'pressed')","('l', 14.282706343, 'released')","('e', 14.398488419, 'pressed')","('e', 14.466680978, 'released')","('Key.esc', 15.045524863, 'pressed')"
"('Key.esc', 15.149629072, 'released')","('Key.enter', 15.433815224, 'pressed')","('Key.enter', 15.509604737, 'released')","('.', 15.933592857, 'pressed')","('.', 16.009606106, 'released')","('t', 16.378512542, 'pressed')","('t', 16.446584919, 'released')","('i', 16.729648342, 'pressed')","('i', 16.79757, 'released')","('e', 17.015458005, 'pressed')","('e', 17.091559761, 'released')","('5', 17.401687265, 'pressed')","('5', 17.469510739, 'released')","('Key.caps_lock', 17.875878736, 'pressed')","('Key.caps_lock', 17.875889703, 'released')","('R', 18.104583778, 'pressed')","('R', 18.181082773, 'released')","('Key.caps_lock', 18.336367525, 'pressed')","('Key.caps_lock', 18.336375157, 'released')","('o', 18.805496004, 'pressed')","('o', 18.873485359, 'released')","('a', 19.098242668, 'pressed')","('a', 19.182202483, 'released')","('n', 19.409390092, 'pressed')","('n', 19.473398816, 'released')","('l', 19.749301526, 'pressed')","('l', 19.821466667, 'released')","('e', 20.059412659, 'pressed')","('e', 20.135403444, 'released')","('Key.esc', 20.585403972, 'pressed')"
